2025-12-22 15:17:26 | Bitcoin: $90044 | Ethereum: $3049.89 | Solana: $126.94
2025-12-22 15:27:19 | Bitcoin: $90177 | Ethereum: $3054.51 | Solana: $127.18
2025-12-22 15:34:53 | Bitcoin: $90376 | Ethereum: $3061.73 | Solana: $127.2
2025-12-22 15:38:35 | Bitcoin: $90163 | Ethereum: $3057.44 | Solana: $127.18
2025-12-22 15:38:36 | Bitcoin: $90163 | Ethereum: $3057.44 | Solana: $127.18
2025-12-22 15:39:06 | Bitcoin: $90147 | Ethereum: $3057.64 | Solana: $127.12
2025-12-22 15:39:36 | Bitcoin: $90147 | Ethereum: $3057.64 | Solana: $127.12
2025-12-22 15:40:07 | Bitcoin: $90139 | Ethereum: $3058.21 | Solana: $127.1
2025-12-22 15:40:37 | Bitcoin: $90139 | Ethereum: $3058.21 | Solana: $127.1
2025-12-22 15:41:07 | Bitcoin: $90126 | Ethereum: $3057.9 | Solana: $127.05
2025-12-22 15:41:38 | Bitcoin: $90126 | Ethereum: $3057.9 | Solana: $127.05
2025-12-22 15:55:17 | Bitcoin: $90103 | Ethereum: $3055.68 | Solana: $126.85
2025-12-22 15:55:18 | Bitcoin: $90103 | Ethereum: $3055.68 | Solana: $126.85
2025-12-22 15:55:49 | Bitcoin: $90112 | Ethereum: $3055.77 | Solana: $126.84
2025-12-22 15:56:19 | Bitcoin: $90112 | Ethereum: $3055.77 | Solana: $126.84
2025-12-22 15:56:50 | Bitcoin: $90124 | Ethereum: $3055.65 | Solana: $126.84
2025-12-22 15:57:21 | Bitcoin: $90124 | Ethereum: $3055.65 | Solana: $126.84
2025-12-22 15:57:51 | Bitcoin: $90182 | Ethereum: $3056.96 | Solana: $126.85
2025-12-22 15:58:22 | Bitcoin: $90182 | Ethereum: $3056.96 | Solana: $126.85
2025-12-22 16:00:53 | Bitcoin: $90184 | Ethereum: $3057.82 | Solana: $126.88
2025-12-22 16:00:54 | Bitcoin: $90184 | Ethereum: $3057.82 | Solana: $126.88
2025-12-22 16:01:24 | Bitcoin: $90184 | Ethereum: $3057.82 | Solana: $126.88
2025-12-22 16:01:55 | Bitcoin: $90181 | Ethereum: $3057.64 | Solana: $126.88
2025-12-22 16:02:26 | Bitcoin: $90181 | Ethereum: $3057.64 | Solana: $126.88
2025-12-22 16:02:56 | Bitcoin: $90181 | Ethereum: $3056.8 | Solana: $126.89
2025-12-22 16:09:38 | Bitcoin: $90161 | Ethereum: $3055.5 | Solana: $126.85
2025-12-22 16:09:38 | Bitcoin: $90161 | Ethereum: $3055.5 | Solana: $126.85
2025-12-22 16:10:09 | Bitcoin: $90103 | Ethereum: $3054.49 | Solana: $126.8
2025-12-22 16:10:40 | Bitcoin: $90103 | Ethereum: $3054.49 | Solana: $126.8
2025-12-22 16:11:11 | Bitcoin: $90099 | Ethereum: $3054.73 | Solana: $126.81
2025-12-22 16:11:41 | Bitcoin: $90099 | Ethereum: $3054.73 | Solana: $126.81
2025-12-22 16:13:05 | BTC: $90129 | ETH: $3055.08 | SOL: $126.8
2025-12-22 16:14:05 | BTC: $90130 | ETH: $3054.92 | SOL: $126.78
2025-12-22 16:15:06 | BTC: $90106 | ETH: $3054.17 | SOL: $126.75
2025-12-22 16:15:20 | BTC: $90106 | ETH: $3054.17 | SOL: $126.75
2025-12-22 16:16:06 | BTC: $90104 | ETH: $3054.45 | SOL: $126.72
2025-12-22 16:16:20 | BTC: $90104 | ETH: $3054.45 | SOL: $126.72
2025-12-22 16:17:07 | BTC: $90108 | ETH: $3054.22 | SOL: $126.69
2025-12-22 16:17:21 | BTC: $90108 | ETH: $3054.22 | SOL: $126.69
2025-12-22 16:18:07 | BTC: $90090 | ETH: $3052.86 | SOL: $126.67
2025-12-22 16:18:21 | BTC: $90090 | ETH: $3052.86 | SOL: $126.67
2025-12-22 16:19:08 | BTC: $90095 | ETH: $3051.88 | SOL: $126.68
2025-12-22 16:19:21 | BTC: $90095 | ETH: $3051.88 | SOL: $126.68
2025-12-22 16:20:08 | BTC: $90080 | ETH: $3051.15 | SOL: $126.67
2025-12-22 16:20:22 | BTC: $90080 | ETH: $3051.15 | SOL: $126.67
2025-12-22 16:21:08 | BTC: $90036 | ETH: $3050.56 | SOL: $126.66
2025-12-22 16:21:22 | BTC: $90036 | ETH: $3050.56 | SOL: $126.66
2025-12-22 16:22:09 | BTC: $90028 | ETH: $3051.11 | SOL: $126.65
2025-12-22 16:22:23 | BTC: $90028 | ETH: $3051.11 | SOL: $126.65
2025-12-22 16:23:09 | BTC: $90011 | ETH: $3056.87 | SOL: $126.67
2025-12-22 16:23:23 | BTC: $90011 | ETH: $3056.87 | SOL: $126.67
2025-12-22 16:24:10 | BTC: $89977 | ETH: $3056.81 | SOL: $126.67
2025-12-22 16:24:23 | BTC: $89977 | ETH: $3056.81 | SOL: $126.67
2025-12-22 16:25:10 | BTC: $89986 | ETH: $3057.59 | SOL: $126.68
2025-12-22 16:25:23 | BTC: $89986 | ETH: $3057.59 | SOL: $126.68
2025-12-22 16:26:10 | BTC: $90000 | ETH: $3057.87 | SOL: $126.66
2025-12-22 16:26:24 | BTC: $90000 | ETH: $3057.87 | SOL: $126.66
2025-12-22 16:26:28 | BTC: $90000 | ETH: $3057.87 | SOL: $126.66
2025-12-22 16:51:23 | BTC: $89865 | ETH: $3051.85 | SOL: $126.57
